
DISTANCE,activity_id,HEARTRATE,SPEED,STEPS_PER_MINUTE,LATITUDE,repetitions,temperature,INSTANT_TORQUE_CRANK,timestamp_epoch,ELEVATION,POWER,STRIDES,wheel_torque,CALORIEBURN,LONGITUDE,CADENCE,heading,STEP_RATE
768.0960083007812,32,0,3.051051139831543,762,0,0,0,0,1364584106757,0,0,762,0,65,0,0,0,0
773.176025390625,32,0,3.051051139831543,767,0,0,0,0,1364584108753,0,0,767,0,66,0,0,0,0
778.2560424804688,32,0,3.0541083812713623,772,0,0,0,0,1364584110750,0,0,772,0,66,0,0,0,0
782.3200073242188,32,0,2.0442657470703125,776,0,0,0,0,1364584112742,0,0,776,0,66,0,0,0,0
787.4000244140625,32,0,2.0650408267974854,781,0,0,0,0,1364584114750,0,0,781,0,67,0,0,0,0
791.4640502929688,32,0,2.019880771636963,785,0,0,0,0,1364584116739,0,0,785,0,67,0,0,0,0
796.5440063476562,32,0,2.029970169067383,790,0,0,0,0,1364584118738,0,0,790,0,68,0,0,0,0
801.6240234375,32,0,3.0725808143615723,795,0,0,0,0,1364584120728,0,0,795,0,68,0,0,0,0
806.7040405273438,32,0,2.9882354736328125,800,0,0,0,0,1364584122751,0,0,800,0,68,0,0,0,0
810.7680053710938,32,0,2.0442657470703125,804,0,0,0,0,1364584124720,0,0,804,0,69,0,0,0,0
815.8480224609375,32,0,2.0926880836486816,809,0,0,0,0,1364584126718,0,0,809,0,69,0,0,0,0
820.9280395507812,32,0,3.0419163703918457,814,0,0,0,0,1364584128721,0,0,814,0,70,0,0,0,0
824.9920043945312,32,0,2.034034013748169,818,0,0,0,0,1364584130722,0,0,818,0,70,0,0,0,0
830.072021484375,32,0,2.048387050628662,823,0,0,0,0,1364584132716,0,0,823,0,70,0,0,0,0
835.1520385742188,32,0,2.0587639808654785,828,0,0,0,0,1364584134709,0,0,828,0,71,0,0,0,0
840.2320556640625,32,0,3.0298211574554443,833,0,0,0,0,1364584136711,0,0,833,0,71,0,0,0,0
845.31201171875,32,0,3.051051139831543,838,0,0,0,0,1364584138707,0,0,838,0,72,0,0,0,0
